Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;rezult1t
109;Po Ustavu Republike Srpske strana lica/osobe:;Mogu po odobrenju Vlade sticati/stjecati pravo svojine/vlasništva i prava po osnovu/osnovi ulaganja kapitala;Mogu po principu reciprociteta sticati/stjecati pravo svojine/vlasništva i prava po osnovu/osnovi ulaganja kapitala;Mogu do nivoa/razine od 51% sticati/stjecati pravo svojine/vlasništva i prava po osnovu/osnovi ulaganja kapitala;Mogu sticati/stjecati pravo svojine/vlasništva i pravo po osnovu/osnovi ulaganja kapitala, u skladu sa zakonom;;;4
110;Po Ustavu Republike Srpske teritorija/teritorij Republike Srpske:;"""iznosi tačno 49% teritorije/teritorija Bosne i Hercegovine""";"""je sastavljena od teritorije/teritorija 63 opštine/općine""";"""je jedinstvena, nedjeljiva i neotuđiva""";"""može da se razmjenjuje, ako se o tome postigne sporazum sa Federacijom BiH, Brčko distriktom BiH, a to odobre potpisnice Dejtonskog mirovnog sporazuma"". ";;;3
111;Po Ustavu Republike Srpske u slučaju različitosti u odredbama o pravima i slobodama između Ustava RS i Ustava BiH primjenjuju se:;Uvijek odredbe Ustava Bosne i Hercegovine;Odredbe Ustava Republike Srpske;One odredbe koje su za pojedince povoljnije;Za državljane sa entitetskim državljanstvom RS odredbe Ustava RS, a za sve ostale odredbe Ustava BiH;;;3
112;Po Ustavu Republike Srpske u vršenju vlasti u Republici Srpskoj, ravnopravno i bez diskriminacije učestvuju/sudjeluju:;Političke partije/stranke koje su registrovane/registrirane u skladu sa Izbornim zakonom BiH, ako imaju multietnički sastav;Srbi, Bošnjaci i Hrvati, kao konstitutivni narodi, Ostali i građani;Pripadnici svih konstitutivnih naroda i ostalih koji na izborima osvoje više od 5% glasova;Sve osobe/lica koja imaju državljanstvo Republike Srpske;;;2
113;Po Ustavu Republike Srpske zaposleni imaju pravo na štrajk:;Ako se ne radi o javnom preduzeću/poduzeću ili državnoj službi;Pod uslovima/uvjetima utvrđenim zakonom;Pod uslovima/uvjetima iz Statuta sindikata;Pod uslovima/uvjetima da to neće nanijeti veću štetu poslodavcu;;;2
114;Po Ustavu Republike Srpske zaposleni imaju pravo na:;Dnevni odmor, noćni odmor, sedmični/tjedni/nedjeljni odmor i plaćeni godišnji odmor;Dnevni odmor, sedmični/tjedni/nedjeljni odmor, plaćeni godišnji odmor i naknade u skladu sa Zakonom i kolektivnim ugovorom;Dnevni odmor, sedmični/tjedni/nedjeljni odmor, mjesečni odmor i sve ostalo za što se izbori sindikat;Sve vrste odmora, po odobrenju poslodavaca;;;2
115;Po Ustavu Republike Srpske zaposleni imaju pravo učešća/sudjelovanja u upravljanju preduzećem:;Ne, nemaju pravo, u skladu sa zakonom;Da, imaju pravo u skladu sa zakonom;Imaju u javnim preduzećima/poduzećima;Imaju, ako kolektivnim ugovorom nije ukinuto samoupravljanje;;;2
116;Po Ustavu Republike Srpske, glavni grad Republike Srpske je:;Banja Luka;Istočno Sarajevo;Banja Luka za institucije Republike Srpske, a Istočno Sarajevo za nivo Bosne i Hercegovine;Sarajevo;;;4
117;Po Ustavu Republike Srpske, službeni jezik i pismo Republike Srpske su:;Srpski jezik i ćirilično pismo;Srpski jezik i ćirilično i latinično pismo;Jezik srpskog naroda, jezik bošnjačkog naroda i jezik hrvatskog naroda, a službena pisma su ćirilica i latinica;Srpski jezik i ćirilično pismo, a u opštinama/općinama u kojima učestvuju/sudjeluju u vlasti druga dva konstitutivna naroda i hrvatski i bosanski jezik kao i latinično pismo;;;3
118;Poslanike/zastupnike u Predstavnički/Zastupnički dom Parlamentarne skupštine BiH bira:;Predstavnički/Zastupnički dom Parlamenta Federacije, odnosno Narodne skupštine Republike Srpske;Izborna komisija/povjerenstvo BiH;Općinska i gradska vijeća, odnosno skupštine opština i gradova;Građani neposredno, na izborima sa teritorije/teritorija njihovog entiteta.;;;4
119;Postoji državljanstvo BiH i državljanstvo svakog entiteta pod uslovom/uvjetom da su svi:;Državljani bilo kojeg entiteta, samim tim su državljani BiH;Državljani Republike BiH, po sili zakona, državljani BiH i entiteta;Državljani BiH, samim tim državljani bilo kojeg entiteta;Građani rođeni u BiH, po sili zakona, državljani BiH i entiteta;;;1
120;Prijedlog da se pristupi promjeni Ustava Republike Srpske može podnijeti:;Senat;OHR i Ured/Kancelarija specijalnog predstavnika EU;Predsjednik Republike Srpske, Vlada i najmanje 30 narodnih poslanika/zastupnika;Predsjednik Republike Srpske, Ustavni sud, Vijeće naroda i svaki klub narodnih poslanika/zastupnika;;;3
121;Predsjedavajući/predsjedatelj Predsjedništva, osim izabranog na prvim izborima, bira se:;Isključivom rotacijom između članova;Rotacijom, ili na drugi način, kako odredi Parlamentarna skupština BiH;Na izborima;Rotacijom, ili na drugi način, kako odredi samo Predsjedništvo;;;2
122;Predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH ima ovlaštenje/ovlašćenje/ovlast da imenuje dva ministra za svoje zamjenike, koji stupaju na dužnost kada njihovo imenovanje odobri:;Predsjedništvo BiH;Dom naroda;Predstavnički/Zastupnički dom Parlamentarne skupštine;Dvije trećine poslanika/zastupnika Doma naroda;;;3
123;Predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH ostavku podnosi:;Predstavničkom/Zastupničkom domu Parlamentarne skupštine BiH;Domu naroda;Predsjedništvu BiH;Parlamentarnoj skupštini;;;3
124;Predsjednik Federacije ima:;Dva potpredsjednika iz različitih konstitutivnih naroda;Tri potpredsjednika iz različitih konstitutivnih naroda;Pet potpredsjednika iz bilo kojeg od konstitutivnih naroda;Šest potpredsjednika iz bilo kojeg od konstitutivnih naroda;;;1
125;Predsjednik Republike Srpske:;Ima dva ili više potpredsjednika;Nema potpredsjednike;Ima dva potpredsjednika iz različitih konstitutivnih naroda;Ima tri potpredsjednika koji se biraju iz drugih konstitutivnih naroda i iz reda Ostalih;;;3
126;Predsjedništvo BiH je nadležno za vršenje drugih djelatnosti koje nisu nabrojane Ustavom BiH:;Samo ako je to ustavima entiteta odobreno;Koje mu prenese Parlamentarna skupština ili na koje pristanu entiteti;Samo u skladu sa zakonima BiH;Ukoliko su te djelatnosti u vezi s pitanjima odbrane/obrane zemlje.;;;2
127;Predstavnički/Zastupnički dom Parlamenta Federacije BiH sastoji se od:;97 zastupnika/poslanika;112 zastupnika/poslanika;42 zastupnika/poslanika;98 zastupnika/poslanika;;;4
128;Predstavnički/Zastupnički dom Parlamentarne skupštine BiH ima 42 poslanika/zastupnika, a kvorum čini:;22 poslanika/zastupnika;21 poslanik/zastupnik;20 poslanika/zastupnika;Većina svih poslanika/zastupnika;;;4
129;Predstavnički/Zastupnički dom Parlamentarne skupštine BiH sastoji se od:;24 člana;42 člana;36 članova;82 člana;;;2
130;Prema Ustavu BiH i Zakonu o Vijeću/Savjetu ministara BiH, Vijeće/Savjet ministara BiH je:;Upravno-politički državni organ/tijelo;Izvršni organ/tijelo Parlamentarne skupštine BiH;Predstavničko tijelo BiH;Tijelo/organ izvršne vlasti Bosne i Hercegovine koji vrši svoja prava i dužnosti kao vladine funkcije u skladu s Ustavom BiH, zakonima i drugim propisima Bosne i Hercegovine;;;4
131;Premijer kantona/županije je odgovoran:;Vladi kantona/županije;Zakonodavnom tijelu kantona/županije;Vladi Federacije BiH;Vijeću/Savjetu ministara BiH;;;2
132;Prijedlog za izglasavanje nepovjerenja Vladi Republike Srpske može podnijeti:;Svaki klub narodnih poslanika/zastupnika;Najmanje 30 narodnih poslanika/zastupnika;Najmanje 25 narodnih poslanika/zastupnika;Najmanje 20 narodnih poslanika/zastupnika;;;4
133;Ratifikaciju međunarodnih ugovora po Ustavu BiH vrši:;Vijeće/Savjet ministara BiH;Predsjedništvo;Parlamentarna skupština;Predsjedništvo uz prethodnu saglasnost/suglasnost Parlamentarne skupštine;;;4
134;Republika Srpska i opštine/općine, po Ustavu Republike Srpske, javne prihode i rashode utvrđuju:;Strategijom razvoja/razvitka;Budžetom/proračunom;Planskim dokumentima;Rebalansom.;;;2
135;Republika Srpska ima zastavu, grb i himnu. Izgled zastave i grba i tekst himne se uređuje:;Ustavom Republike Srpske;Zakonom;Ustavnim zakonom;Odgovarajućim podzakonskim aktom, pravilnikom;;;3
136;Simbole BiH (grb, zastavu) određuje:;Parlamentarna skupština BiH zakonom;Predsjedništvo svojom odlukom;Parlamentarna skupština BiH na prijedlog Vijeća/Savjeta ministara BiH;Kako bude odlučeno od strane Parlamentarne skupštine BiH i odobreno od strane Predsjedništva BiH;;;4
137;Skraćivanjem ili prestankom mandata Narodne skupštine Republike Srpske, mandat Vlade:;Se produžava/produljuje, najduže/najdulje do šest mjeseci;Se produžava/produljuje, najduže/najdulje do 60 dana;Prestaje;Se produžava/produljuje, najduže/najdulje do tri mjeseca;;;3
138;Službeni devizni kurs za valutu Bosne i Hercegovine je:;Jedna konvertibilna marka za jednu njemačku marku;Dvije konvertibilne marke za 1 EUR;Jedna konvertibilna marka za jedan američki dolar;Jedna konvertibilna marka za 0,511292 EUR;;;4
139;Službeni jezici u Federaciji BiH su:;Bosanski jezik;Bosanski, hrvatski i srpski jezik;Bosanski i hrvatski jezik;Bosanski i srpski jezik;;;2
140;Sporove da li odluka entiteta da uspostavi posebne paralelne odnose sa susjednom državom ili da li je odredba Ustava ili zakona entiteta u skladu sa Ustavom BiH, mogu pokrenuti:;Članovi Predsjedništva, predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH, predsjedavajući/predsjedatelj i zamjenici predsjedavajućeg/predsjedatelja bilo kojeg doma Parlamentarne skupštine BiH, od strane 1/4 oba doma Parlamentarne skupštine BiH kao i od strane 1/4 bilo kojeg doma zakonodavnog organa/tijela entiteta;Članovi Predsjedništva, predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH, predsjednici entiteta i njihovi zamjenici, predsjedavajući/predsjedatelji domova zakonodavnih organa/tijela BiH i entiteta i njihovi zamjenici, te 1/4 domova zakonodavnih organa/tijela BiH ili entiteta;Članovi Predsjedništva, predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH, predsjednici entiteta i njihovi zamjenici, premijeri vlada entiteta i njihovi zamjenici, te predsjedavajući/predsjedatelji zakonodavnih organa/tijela BiH i entiteta odnosno 1/4 istih organa/tijela;Članovi Predsjedništva, predsjedavajući/predsjedatelj Vijeća/Savjeta ministara BiH, predsjedavajući/predsjedatelji domova Parlamentarne skupštine BiH i njihovi zamjenici, te 1/4 oba doma Parlamentarne skupštine BiH;;;1
141;Sudije/suce Ustavnog suda BiH bira:;Četiri člana Predstavnički/Zastupnički dom Federacije, dva člana Narodna skupština RS, a tri člana predsjednik Evropskog/Europskog suda za ljudska prava nakon konsultacija/konzultacija sa Predsjedništvom;Četiri člana Dom naroda Federacije (klubovi bošnjačkog i hrvatskog naroda), dva člana Narodna skupština RS, a tri člana predsjednik Evropskog/Europskog suda za ljudska prava nakon konsultacija/konzultacija sa Predsjedništvom;Parlamentarna skupština BiH;Šest članova bira Predstavnički/Zastupnički dom Parlamentarne skupštine BiH, a tri člana bira predsjednik Evropskog/Europskog suda za ljudska prava.;;;1
142;Sudsku funkciju u Federaciji Bosne i Hercegovine vrše:;Ustavni sud, Vrhovni sud i Sud za ljudska prava;Ustavni sud, Vrhovni sud, kantonalni sudovi i općinski/opštinski sudovi;Vrhovni sud i Upravni sud;Vrhovni sud, Dom za ljudska prava i Ombudsmen/Ombudsman;;;2
143;Sve nadležne vlasti u BiH su se ob(a)vezale da će surađivati/sarađivati sa Međunarodnim tribunalom za bivšu Jugoslaviju:;Potpisivanjem Memoranduma o razumijevanju;Ustavom BiH;Prijemom BiH u Savjet Evrope / Vijeće Europe/Evrope;Samim članstvom u UN-u;;;2
144;Šef Federalne izvršne vlasti je:;Premijer FBiH;Predsjednik Ustavnog suda FBiH;Predsjedavajući/predsjedatelj Predstavničkog/Zastupničkog doma Parlamenta FBiH;Predsjednik Federacije BiH;;;4
145;U Aneksu Ustava Federacije BiH, kao instrumenti za zaštitu ljudskih prava, utvrđeni su:;Evropska/Europska konvencija i Deklaracija Ujedinjenih nacija o ljudskim pravima;15 međunarodnih dokumenata;22 međunarodna dokumenta;Sud za ljudska prava i Ombudsmen/Ombudsman;;;3
146;U preambuli Ustava BiH se ne (s)pominje:;Evropska/Europska konvencija o zaštiti ljudskih prava i osnovnih/temeljnih sloboda;Povelja UN-a;Univerzalna deklaracija o ljudskim pravima;Deklaracija o pravima osoba/lica koja pripadaju nacionalnim, etničkim, vjerskim i jezičkim manjinama;;;1
147;U Ustavu Republike Srpske građanima se garantuje/jamči sloboda izražavanja nacionalne pripadnosti i kulture i pravo upotrebe/uporabe svog jezika i pisma:;Ako se izjasne da pripadaju jednom od konstitutivnih naroda;Niko/nitko nije dužan da se izjašnjava o svojoj nacionalnoj pripadnosti;Ako to zatraže putem nadležnog suda ili od OHR-a;Uz dokaz da pripadaju jednoj od 17 nacionalnih manjina;;;2
148;Ustav BiH je stupio na snagu:;Parafiranjem Daytonskog (Dejtonskog) sporazuma 1.11.1995. godine u Daytonu (Dejtonu);Usvajanjem od Parlamentarne skupštine BiH;Potpisivanjem Općeg/Opšteg okvirnog sporazuma o miru u BiH, 14.12.1995. godine u Parizu;"Objavljivanjem u ""Službenom glasniku BiH""";;;3
149;Ustav BiH može se mijenjati:;Od strane Parlamentarne skupštine BiH, usvajanjem amandmana u oba doma;Od strane Parlamentarne skupštine BiH, usvajanjem amandmana u oba doma, pri čemu usvajanje u Predstavničkom/Zastupničkom domu mora biti dvotrećinskom većinom;Od strane Parlamentarne skupštine BiH, dvotrećinskom većinom u oba doma;Od strane Parlamentarne skupštine BiH, usvajanjem u oba doma, uz suglasnost/saglasnost zakonodavnih organa/tijela entiteta.;;;2
150;Ustav BiH određuju (po preambuli Ustava):;Svi građani BiH;Bošnjaci, Srbi i Hrvati kao konstitutivni narodi (zajedno sa ostalima) i građani BiH;Bošnjaci, Srbi i Hrvati kao konstitutivni narodi;Svi narodi i građani BiH;;;2
151;Ustavni sud BiH sastoji se od:;Devet članova;Trinaest članova;Tri člana;Sedam članova;;;1
152;Ustavni sud je jedini nadležan da odluči o bilo kojem sporu koji se javlja po Ustavu BiH:;Između dva entiteta;Između različitih odluka koje donesu ustavni sudovi entiteta;U slučajevima spora između institucija BiH i međunarodne zajednice;Između dva entiteta, ili između BiH i jednog ili oba entiteta, te između institucija BiH;;;4
153;Ustavni sud Republike Srpske ima:;Sedam članova;Sedam članova i Vijeće/Savjet za zaštitu vitalnog interesa;Pet članova;Devet članova;;;4
154;Ustavom BiH garantovano/jamčeno je uživanje prava i sloboda, kao i onih prava i sloboda:;Utvrđenih Poveljom Ujedinjenih nacija;Predviđenih u međunarodnim sporazumima navedenim u Aneksu I Ustava BiH;Utvrđenim međuentitetskim sporazumom;Utvrđenim u presudama Komisije/Povjerenstva za ljudska prava;;;2
155;Ustavom BiH je predviđeno da će BiH preuzeti nadležnost:;U onim stvarima u kojima se o tome postigne saglasnost/suglasnost entiteta;U skladu sa ustavima entiteta;U skladu sa odlukom Ureda/Kancelarije visokog predstavnika za BiH;U skladu sa Ustavom BiH i ustavima entiteta;;;1
156;Ustavom Federacije BiH utvrđena je zabrana revizije ustavnih odredbi:;O ljudskim pravima i slobodama;O konstitutivnosti naroda;O pravima visokog predstavnika za BiH;Nije utvrđena zabrana revizije;;;1
157;Ustavotvornu i zakonodavnu vlast u Republici Srpskoj po Ustavu Republike Srpske vrši:;Ustavni sud Republike Srpske;Zakonodavni odbor i Ustavnopravna komisija/povjerenstvo;Narodna skupština i Vijeće naroda;Predsjednik i Vlada Republike Srpske.;;;3
158;Vijeće/Savjet ministara BiH daje ostavku po Ustavu BiH:;Ako mu Parlamentarna skupština BiH izglasa nepovjerenje;Ako ga Predsjedništvo smijeni;Ako utvrdi da ne može obavljati dužnosti;Ako ga predsjedavajući/predsjedatelj raspusti, a Predstavnički/Zastupnički dom Parlamentarne skupštine BiH potvrdi tu odluku;;;1
159;Vijeće/Savjet ministara BiH za svoj rad odgovara:;Zastupničkom/Predstavničkom domu Parlamentarne skupštine BiH;Parlamentarnoj skupštini BiH;Predsjedništvu BiH;Domu naroda Parlamentarne skupštine BiH;;;2
160;Vijeće/Savjet ministara BiH usvaja:;Zakone;Uredbe;Odluke, rješenja i zaključke;Nacrte i prijedloge zakona, analize, informacije, strateške dokumente, programe, sporazume, protokole i druge akte;;;4
161;Vijeće za zaštitu vitalnih interesa Ustavnog suda Federacije BiH sastoji se od:;7 članova;5 članova;9 članova;6 članova;;;1
162;Vlada Federacije BiH ima:;16 ministara;14 ministara;11 ministara;19 ministara;;;1
163;Vlada i članovi Vlade Republike Srpske odgovaraju:;Visokom predstavniku;Specijalnom predstavniku EU;Predsjedniku Republike Srpske;Narodnoj skupštini;;;4
164;Zakone BiH donosi:;Predstavnički/Zastupnički dom, uz odobrenje Doma naroda Parlamentarne skupštine BiH;Dom naroda, uz prethodnu saglasnost/suglasnost Predstavničkog/Zastupničkog doma Parlamentarne skupštine BiH;Zavisno/ovisno od materije - neke Dom naroda, a neke Predstavnički/Zastupnički dom;Sve zakone moraju usvojiti u istovjetnom tekstu oba doma Parlamentarne skupštine BiH;;;4
165;Zakone usvojene od Narodne skupštine Republike Srpske Vijeće naroda razmatra:;Ako se odnosi na vitalni interes definisan/definiran Ustavom Republike Srpske;Ako Vijeće naroda smatra potrebnim;Ako jedna trećina delegata u Vijeću naroda to zatraži;Uvijek, u skladu sa Ustavom Republike Srpske.;;;1
166;Zakoni, drugi propisi i opšti/opći akti po Ustavu Republike Srpske stupaju na snagu:;"Objavom u ""Službenom glasniku RS""";Najranije osmog dana od dana objave, osim ako iz naročito opravdanih razloga nije predviđeno da ranije stupe na snagu;Najranije 15 dana od dana objave, osim ako iz naročito opravdanih razloga nije predviđeno da ranije stupe na snagu;Tri dana nakon objave;;;2
167;Zakonodavno tijelo/organ kantona/županije sastoji se od:;Jednog doma;Dva doma;Doma naroda;Tri doma;;;1
168;Zakonodavnu vlast u Federaciji BiH vrši:;Predstavnički/Zastupnički dom i Doma naroda Parlamenta Federacije BiH;Predstavnički/Zastupnički dom Parlamenta Federacije BiH;Dom naroda Parlamenta Federacije BiH;Predstavnički/Zastupnički dom sa skupštinama kantona/županija;;;1
169;Zastupnike/poslanike u zakonodavnom tijelu/organu kantona/županije biraju:;Birači na demokratskim neposrednim izborima tajnim glasanjem/glasovanjem na cijeloj teritoriji kantona / teritoriju županije;Birači na posrednim izborima;Delegiranjem iz općina/opština;Na lokalnim izborima;;;1
170;Brčko distrikt BiH je:;Jedinstvena administrativna jedinica lokalne samouprave koja je pod suverenitetom BiH;Opština/općina u sastavu jednog od entiteta BiH;Administrativna jedinica podijeljena između entiteta;Jedinstvena administrativna jedinica lokalne samouprave koja je pod suverenitetom entiteta i BiH;;;1
171;Zakoni i odluke svih vlasti Brčko distrikta BiH moraju biti:;u skladu sa važećim zakonima i odlukama entiteta i BiH;u skladu sa važećim zakonima i odlukama entiteta;u skladu sa važećim zakonima i odlukama institucija BiH;u skladu sa nalozima supervizora za Brčko distrikt BiH;;;3
172;Teritorij(a) Brčkom distrikta BiH obuhvata cjelokupnu teritoriju/teritorij općine/opštine Brčko u granicama od:;1. januara/siječnja 1990. godine;1. januara/siječnja 1991. godine;1. januara/siječnja 1992. godine;1. januara/siječnja 1993. godine;;;2
173;Brčko distrikt BiH predstavlja:;Supervizor za Brčko distrikt BiH;Gradonačelnik Brčko distrikta BiH;Predsjednik skupštine Brčko distrikta BiH;Vlada Brčko distrikta BiH.;;;2
174;Vlast u Brčko distriktu BiH se dijeli na:;Zakonodavnu, izvršnu i sudsku vlast;Zakonodavnu, upravnu, izvršnu i sudsku vlast;Zakonodavnu, izvršnu, sudsku i policijsku vlast;Zakonodavnu, izvršnu, sudsku vlast i OHR;;;1
175;Sporove u vezi sa zaštitom utvrđenog statusa i ovlaštenja/ovlašćenja/ovlasti Brčko distrikta BiH između Distrikta i entiteta i između Distrikta i BiH rješava:;Supervizor Brčko distrikta BiH;Ustavni sud jednog od entiteta;Ustavni sud Brčko distrikta BiH;Ustavni sud BiH;;;4
176;Teritorij(a) Brčko distrikta BiH je u vlasništvu/svojini:;Oba entiteta;Bosne i Hercegovine;Međunarodne zajednice;Stanovništva Brčko distrikta BiH;;;1
177;Prijedlog budžeta/proračuna Brčko distrikta BiH Skupštini podnosi:;Predsjednik Skupštine Brčko distrikta BiH;Gradonačelnik u ime Vlade Brčko distrikta BiH;Vlada Brčko distrikta BiH;Supervizor za Brčko distrikt BiH;;;2
178;Budžet/proračun Brčko distrikta BiH usvaja:;Vlada Brčko distrikta BiH;Direkcija za financije/finansije Brčko distrikta BiH;Skupština Brčko distrikta BiH;Gradonačelnik Brčko distrikta BiH;;;3
179;Skupština Brčko distrikta BiH se saziva:;Najmanje jedanput mjesečno;Najmanje dva puta mjesečno;Najmanje tri puta mjesečno;Najmanje četiri puta mjesečno;;;2
180;Skupština Brčko distrikta BiH se sastoji od:;27 poslanika/zastupnika;29 poslanika/zastupnika;31 poslanika/zastupnika;33 poslanika/zastupnika;;;3
181;Vladu Brčko distrikta BiH čine:;Gradonačelnik i šefovi odjeljenja/predstojnici odjela;Gradonačelnik, zamjenik gradonačelnika/dogradonačelnik i šefovi odjeljenja/predstojnici odjela;Gradonačelnik, zamjenik gradonačelnika/dogradonačelnik, šefovi odjeljenja/predstojnici odjela i direktor/ravnatelj Direkcije za financije/finansije;Gradonačelnik, zamjenik gradonačelnika/dogradonačelnik, glavni koordinator Vlade i šefovi odjeljenja/predstojnici odjela.;;;4
182;Gradonačelnika Brčko distrikta BiH bira:;Vlada Brčko distrikta BiH;Supervizor za Brčko distrikt BiH;Skupština Brčko distrikta BiH;Bira se direktno/izravno na izborima;;;3
183;Gradonačelnik Brčko distrikta BiH ne može imati više od:;3 savjetnika;4 savjetnika;5 savjetnika;6 savjetnika;;;4
184;Sjednicom Vlade Brčko distrikta BiH predsjedava:;Glavni koordinator Vlade;Jedan od šefova odjeljenja/predstojnika odjela koga ovlasti gradonačelnik;Gradonačelnik;Sekretar/tajnik Vlade;;;3
185;Gradonačelnik Brčko distrikta BiH je odgovoran za pravilno rukovođenje i upravljanje Distriktom:;Vladi Brčko distrikta BiH;Supervizoru Brčko distrikta BiH;Skupštini Brčko distrikta BiH;Kolegiju(mu) Vlade;;;3
186;Za (s)provođenje zakona u Brčko distriktu BiH i pravilno rukovođenje i upravljanje Distriktom odgovoran je:;Predsjednik Skupštine Brčko distrikta BiH;Glavni koordinator Vlade Brčko distrikta BiH;Gradonačelnik;Sekretar/tajnik Vlade;;;3
187;Kandidata za mjesto gradonačelnika Brčko distrikta BiH može nominovati/nominirati:;Predsjednik Skupštine Brčko distrikta BiH;Supervizor Brčko distrikta BiH;Poslanik/zastupnik Skupštine Brčko distrikta BiH;Svaki građanin Brčko distrikta BiH;;;3
188;Kandidati za gradonačelnika Brčko distrikta BiH moraju biti iz reda članova Skupštine:;Da;Ne;Da, ali mogu i ministri iz Vlade;Da, ali može i bilo koji građanin Brčko distrikta BiH;;;1
189;Pravo predlaganja zakona u Brčko distriktu BiH ima:;Vlada Brčko distrikta BiH;Svaki poslanik/zastupnik i gradonačelnik u ime Vlade Brčko distrikta BiH;Svaki poslanik/zastupnik, gradonačelnik u ime Vlade Brčko distrikta BiH i Pravosudna komisija/Pravosudno povjerenstvo;Svaki građanin Brčko distrikta BiH.;;;3
190;Zakoni Brčko distrikta BiH, odluke i rezolucije Skupštine Brčko distrikta BiH u skladu sa Statutom objavljuju se u:;"u ""Službenom glasniku Bosne i Hercegovine""";na internet stranici Skupštine Distrikta;"u ""Službenom glasniku Brčko distrikta Bosne i Hercegovine""";"u ""Službenom glasniku Brčko distrikta Bosne i Hercegovine"" i službenim glasnicima entiteta";;;3
191;Brčko distrikt BiH ima pečat:;"Okruglog oblika, sa tekstom: ""Bosna i Hercegovina, Brčko distrikt Bosne i Hercegovine"", ispisan latiničnim i ćiriličnim pismom";"Okruglog oblika, sa tekstom: ""Bosna i Hercegovina, Brčko distrikt BiH"", ispisan latiničnim i ćiriličnim pismom";"Okruglog oblika, sa tekstom: ""Brčko distrikt BiH"", ispisan latiničnim i ćiriličnim pismom";"Četvrtastog oblika, sa tekstom: ""Brčko distrikt BiH"", ispisan latiničnim i ćiriličnim pismom";;;1
192;Stanovnici Distrikta imaju pravo da izaberu ili promjene svoje entitetsko državljansto:;Da;Ne;Da ukoliko su rođeni u Brčko distriktu BiH;Ne, osim ako su doselili u Brčko iz drugog entiteta;;;1
193;Grb i zastava Brčko distrikta BiH su:;Grbovi i zastave entiteta;Grb i zastava jednog od entiteta zajedno sa grbom i zastavom BiH;Grb i zastava Bosne i Hercegovine;Ima poseban grb i zastavu;;;3
194;Javnu upravu Brčko distrikta BiH čine:;Odjeljenja/odjeli Vlade Distrikta, Kancelarija/Ured gradonačelnika, Direkcija za finansije/financije Distrikta, Kancelarija/Ured za upravljanje javnom imovinom, Kancelarija/Ured koordinatora Brčko distrikta BiH pri Savjetu/Vijeću ministara BiH i ostali organi/tijela uprave kada je to predviđeno zakonom;Odjeljenja/odjeli Vlade Distrikta, Ured/Kancelarija gradonačelnika i ostali organi/tijela uprave kada je to predviđeno zakonom;Odjeljenja/odjeli Vlade Distrikta, Ured/Kancelarija gradonačelnika, Ured/Kancelarija koordinatora Brčko distrikta BiH pri Vijeću/Savjetu ministara BiH i ostali organi/tijela uprave kada je to predviđeno zakonom;Skupština i Vlada Brčko distrikta BiH;;;1
195;Policija Brčko distrikta BiH ima:;Šefa i jednog zamjenika;Šefa i dva zamjenika;Šefa i tri zamjenika;Šefa bez zamjenika;;;1
196;Šefa Policije Brčko distrikta BiH imenuje:;Gradonačelnik uz saglasnost/suglasnost Vlade;Gradonačelnik uz saglasnost/suglasnost Skupštine Brčko distrikta BiH;Gradonačelnik uz saglasnost/suglasnost Supervizora za Brčko distrikt BiH;Skupština Brčko distrikta BiH.;;;2
197;Sudove Brčko distrikta BiH čine:;Osnovni i Apelacioni/Apelacijski sud;Osnovni i Vrhovni sud;Opštinski/općinski i Okružni sud;Osnovni i Apelacioni/Apelacijski sud i Pravosudna komisija / Pravosudno povjerenstvo;;;1
198;Sudije/suce i tužioce/tužitelje u Brčko distriktu BiH imenuje i razrješava:;Pravosudna komisija / Pravosudno povjerenstvo Brčko distrikta BiH;Gradonačelnik;Skupština Brčko distrikta BiH;Visoko sudsko i tužilačko vijeće BiH / Visoko sudbeno i tužiteljsko vijeće / Visoki sudski i tužilački savjet;;;4
199;Koji jezici i pisma se upotrebljavaju za sve službene svrhe u Brčko distriktu BiH:;Bosanski, hrvatski i srpski jezik i latinično pismo;Bosanski, hrvatski i srpski jezik te ćirilično i latinično pismo u ravnopravnoj upotrebi/uporabi;Bosanski, hrvatski i srpski jezik i ćirilično pismo u ravnopravnoj upotrebi/uporabi;Bosanski, hrvatski i srpski jezik;;;2
200;Raspoređivanje razvrstanih pismena vrši se:;Upisivanjem klasifikacione/klasifikacijske oznake i datuma/nadnevka otvaranja i pregledanja pošte na prvoj stranici akta, odnosno predmeta u gornjem desnom uglu/kutu;Na organe/tijela uprave, organizacione/organizacijske jedinice odnosno radna mjesta, kojim se pismena trebaju dostaviti u rad, izuzev pismena koja se dostavljaju javnim saopćenjem/priopćenjem/saopštenjem na oglasnoj ploči/tabli;Upisivanjem rednog broja iz interne dostavne knjige u koju je predmet, odnosno akt zaveden u gornjem desnom uglu;;;;2
201;Službena prepiska sa drugim organima/tijelima uprave, institucijama, pravnim licima/osobama, fizičkim licima/osobama i drugim obavlja se:;Upravnim i neupravnim aktom;Neupravnim aktom;Upravnim aktom;;;;2
